
USD000000TOD,D,20150306,60.298,60.52,59.197,59.55,1360545000
USD000TODTOM,D,20150306,0.097,0.1039,0.0831,0.0831,7748800000
USD000UTSTOM,D,20150306,60.404,60.584,59.282,60.445,3932853000
USDRUB_SPT,D,20150306,,,,,
USDRUB_TOM1M,D,20150306,0.747,0.747,0.728,0.728,10000000
USDRUB_TOM1W,D,20150306,0.173,0.173,0.1705,0.171,60000000
USDRUB_TOM1Y,D,20150306,,,,,
USDRUB_TOM2M,D,20150306,,,,,
USDRUB_TOM2W,D,20150306,0.332,0.332,0.33,0.33,10000000
USDRUB_TOM3M,D,20150306,2.05,2.06,2.05,2.06,17000000
USDRUB_TOM6M,D,20150306,3.83,3.83,3.7,3.7,3000000
USDRUB_TOM9M,D,20150306,,,,,
BYRRUB_TOD,D,20150310,41.2,41.2,41,41,21000000
BYRRUB_TOM,D,20150310,,,,,
CNY000000TOD,D,20150310,9.7089,9.7089,9.67,9.6725,3239000
CNYRUBTODTOM,D,20150310,0.002867,0.00298,0.002601,0.00298,2400000
CNYRUB_TOM,D,20150310,9.69,9.9076,9.59,9.83,129302000
CNYRUB_TOM1D,D,20150310,0.00287,0.00362,0.00261,0.00362,136700000
EUR000TODTOM,D,20150310,0.0275,0.0278,0.026,0.0266,1624900000
EURRUB_SPT,D,20150310,,,,,
EURRUB_TOM1W,D,20150310,0.1933,0.1933,0.1894,0.1894,5200000
EURUSD000TOD,D,20150310,1.08,1.08195,1.074,1.07475,8949000
EURUSD000TOM,D,20150310,1.0799,1.08205,1.06975,1.06975,142761000
EURUSDTODTOM,D,20150310,0.000009,0.000049,0.000007,0.000049,195700000
EUR_RUB__TOD,D,20150310,65.732,66.21,64.78,65.72,220341000
EUR_RUB__TOM,D,20150310,65.864,67.197,64.785,66.982,294413000
GBPRUB_TOM,D,20150310,91.64,93.6,91.04,93.6,977000
HKDRUB_TOM,D,20150310,,,,,
KZT000000TOM,D,20150310,,,,,
UAH000000TOM,D,20150310,25.53,25.53,25.53,25.53,425000
USD000000TOD,D,20150310,60.9,61.683,60.103,61.551,1356731000
USD000TODTOM,D,20150310,0.0268,0.0268,0.0231,0.0262,6602000000
USD000UTSTOM,D,20150310,60.801,62.739,60.12,62.53,4466364000
USDRUB_SPT,D,20150310,60.81,60.81,60.7,60.7,18000
USDRUB_TOM1D,D,20150310,,,,,
USDRUB_TOM1M,D,20150310,,,,,
USDRUB_TOM1W,D,20150310,0.1747,0.1747,0.171,0.171,6400000
USDRUB_TOM1Y,D,20150310,,,,,
USDRUB_TOM2M,D,20150310,,,,,
USDRUB_TOM2W,D,20150310,,,,,
USDRUB_TOM3M,D,20150310,2.01,2.01,2.01,2.01,5000000
USDRUB_TOM6M,D,20150310,,,,,
USDRUB_TOM9M,D,20150310,,,,,
BYRRUB_TOD,D,20150311,42.2,42.2,42.2,42.2,3000000
BYRRUB_TOM,D,20150311,,,,,
CNY000000TOD,D,20150311,9.935,10.5,9.9225,10.0189,7561000
CNYRUBTODTOM,D,20150311,0.0037,0.00375,0.0027,0.0027,101800000
CNYRUB_TOM,D,20150311,9.9309,10.0555,9.8912,9.8912,137820000
CNYRUB_TOM1D,D,20150311,0.003,0.0037,0.00295,0.0037,141900000
EUR000TODTOM,D,20150311,0.027,0.0279,0.027,0.0279,1861300000
EURRUB_SPT,D,20150311,,,,,
EURUSD000TOD,D,20150311,1.06935,1.0695,1.05685,1.05985,19023000
EURUSD000TOM,D,20150311,1.06805,1.06955,1.05145,1.05515,107536000
EURUSDTODTOM,D,20150311,0.00001,0.00001,-0.000004,-0.000004,110300000
EUR_RUB__TOD,D,20150311,66.5,67.29,65.972,66.27,223066000
EUR_RUB__TOM,D,20150311,66.592,67.7,64.665,65.084,212889000
GBPRUB_TOD,D,20150311,,,,,
GBPRUB_TOM,D,20150311,94.39,94.81,92,92,251000
HKDRUB_TOM,D,20150311,8.085,8.085,8.045,8.045,11000
KZT000000TOM,D,20150311,,,,,
UAH000000TOM,D,20150311,28.217,28.217,28.217,28.217,430000
USD000000TOD,D,20150311,62.2,63.02,61.6,62.08,1554729000
USD000TODTOM,D,20150311,0.026,0.026,0.0236,0.0236,6107200000
USD000UTSTOM,D,20150311,62.24,63.05,61.371,61.617,4133642000
USDRUB_SPT,D,20150311,,,,,
USDRUB_TOM1D,D,20150311,,,,,
USDRUB_TOM1M,D,20150311,0.74,0.74,0.74,0.74,4800000
USDRUB_TOM1W,D,20150311,,,,,
USDRUB_TOM1Y,D,20150311,,,,,
USDRUB_TOM2M,D,20150311,,,,,
USDRUB_TOM2W,D,20150311,0.34,0.34,0.34,0.34,5000000
USDRUB_TOM3M,D,20150311,,,,,
USDRUB_TOM6M,D,20150311,,,,,
USDRUB_TOM9M,D,20150311,,,,,
BYRRUB_TOD,D,20150312,40.9,40.9,40.9,40.9,6000000
BYRRUB_TOM,D,20150312,39.8,39.8,39.8,39.8,24000000
